wrist_x,wrist_y,wrist_z,index_x,index_y,index_z,middle_x,middle_y,middle_z,label
0.711276,0.674244,-0.0,0.564387,0.388698,-0.003492,0.578701,0.34911,-0.006121,HELLO
0.69724,0.614261,0.0,0.533624,0.347284,0.001892,0.540463,0.313245,-0.000244,HELLO
0.683651,0.585396,0.0,0.535806,0.344991,-0.011939,0.543042,0.31017,-0.011088,HELLO
0.678,0.568484,0.0,0.53538,0.348956,-0.014537,0.542918,0.313203,-0.014171,HELLO
0.671737,0.561814,0.0,0.534334,0.348311,-0.021276,0.543153,0.312159,-0.018351,HELLO
0.645366,0.516508,0.0,0.489287,0.346681,-0.006239,0.491534,0.314939,-0.005023,HELLO
0.640094,0.502699,0.0,0.490509,0.344851,-0.01278,0.494919,0.314714,-0.009982,HELLO
0.637131,0.501315,0.0,0.497676,0.335803,-0.027394,0.502462,0.303178,-0.022546,HELLO
0.635507,0.500651,0.0,0.496743,0.33792,-0.028446,0.504213,0.302924,-0.022653,HELLO
0.655357,0.507322,0.0,0.52397,0.313689,-0.020622,0.531423,0.28065,-0.018021,HELLO
0.675882,0.522609,0.0,0.555442,0.306239,-0.021673,0.566197,0.274554,-0.019669,HELLO
0.675866,0.524622,0.0,0.555931,0.30681,-0.018938,0.565181,0.275203,-0.017165,HELLO
0.708455,0.56413,0.0,0.6454,0.29802,-0.057436,0.662387,0.269694,-0.049111,HELLO
0.754582,0.60497,0.0,0.69672,0.317483,-0.043585,0.715383,0.296483,-0.038656,HELLO
0.775139,0.64849,0.0,0.743009,0.353133,-0.045074,0.764735,0.335677,-0.039611,HELLO
0.779104,0.666213,0.0,0.752461,0.3636,-0.041401,0.775935,0.347111,-0.036213,HELLO
0.778432,0.6693,0.0,0.752367,0.36544,-0.041121,0.775065,0.348186,-0.034895,HELLO
0.779282,0.668143,0.0,0.751156,0.365924,-0.043859,0.772383,0.346873,-0.038065,HELLO
0.777426,0.666151,0.0,0.749434,0.363501,-0.041968,0.770468,0.345035,-0.03517,HELLO
0.769196,0.658486,0.0,0.737111,0.351699,-0.033804,0.75863,0.334416,-0.029629,HELLO
0.768939,0.656317,0.0,0.737298,0.354471,-0.041037,0.75846,0.334908,-0.034853,HELLO
0.769645,0.656541,0.0,0.737227,0.35392,-0.039439,0.759201,0.334723,-0.033817,HELLO
0.769375,0.656746,0.0,0.737075,0.354316,-0.039039,0.758954,0.334843,-0.033747,HELLO
0.767281,0.652434,0.0,0.734976,0.350127,-0.040411,0.754937,0.329882,-0.034752,HELLO
0.674209,0.497697,0.0,0.541836,0.284707,-0.02044,0.547827,0.252569,-0.014505,HELLO
0.634838,0.471821,0.0,0.480193,0.311357,-0.003762,0.484274,0.27689,-0.002186,HELLO
0.619538,0.457325,0.0,0.472333,0.315634,-0.025618,0.477674,0.282941,-0.017764,HELLO
0.617394,0.453192,0.0,0.470882,0.317247,-0.029353,0.477155,0.28497,-0.022074,HELLO
0.617708,0.453388,0.0,0.470582,0.31712,-0.030662,0.476238,0.28533,-0.022967,HELLO
0.606454,0.447497,0.0,0.457777,0.323555,-0.025551,0.459252,0.291859,-0.019136,HELLO
0.605679,0.445753,0.0,0.454968,0.327594,-0.025442,0.458506,0.293405,-0.019594,HELLO
0.608449,0.446484,0.0,0.456042,0.327497,-0.025006,0.460064,0.294239,-0.01921,HELLO
0.607706,0.446727,0.0,0.455977,0.326915,-0.028066,0.460545,0.294297,-0.021266,HELLO
0.612401,0.447787,0.0,0.461604,0.321562,-0.024239,0.466317,0.288714,-0.019309,HELLO
0.611858,0.448487,0.0,0.461609,0.323785,-0.026447,0.465684,0.291041,-0.020358,HELLO
0.646293,0.465296,0.0,0.519636,0.264918,-0.048509,0.530224,0.228715,-0.039657,HELLO
0.669015,0.460981,0.0,0.540337,0.256884,-0.028838,0.549077,0.228253,-0.027222,HELLO
0.680514,0.464865,0.0,0.560074,0.243167,-0.036081,0.566708,0.218102,-0.034113,HELLO
0.775602,0.599019,0.0,0.702975,0.281069,-0.026006,0.72123,0.259341,-0.02409,HELLO
0.773439,0.611674,0.0,0.712869,0.302062,-0.032862,0.733876,0.280132,-0.030258,HELLO
0.773849,0.635087,0.0,0.729407,0.327185,-0.038585,0.752194,0.305274,-0.035858,HELLO
0.771827,0.634815,0.0,0.73204,0.326768,-0.044907,0.753658,0.306675,-0.040407,HELLO
0.772437,0.644751,0.0,0.734254,0.336628,-0.046681,0.755197,0.314394,-0.041108,HELLO
0.771435,0.643944,0.0,0.733554,0.337232,-0.044984,0.754937,0.31638,-0.040854,HELLO
0.771367,0.642756,0.0,0.734281,0.338705,-0.046953,0.754648,0.316535,-0.042205,HELLO
0.766488,0.620629,0.0,0.716731,0.316059,-0.043964,0.734498,0.296401,-0.039004,HELLO
0.76657,0.610253,0.0,0.710012,0.310943,-0.040201,0.729079,0.289743,-0.033209,HELLO
0.76541,0.60936,0.0,0.707905,0.311627,-0.039774,0.728105,0.290935,-0.033577,HELLO
0.765778,0.608602,0.0,0.708595,0.308917,-0.041423,0.72824,0.289837,-0.035142,HELLO
0.762317,0.59839,0.0,0.700855,0.304195,-0.039803,0.719813,0.280834,-0.033905,HELLO
0.761699,0.597553,0.0,0.69938,0.303696,-0.037738,0.719116,0.281745,-0.031913,HELLO
0.745425,0.555584,0.0,0.628376,0.264898,-0.024215,0.645745,0.238971,-0.02016,HELLO
0.729582,0.522813,0.0,0.608694,0.260039,-0.02344,0.617889,0.230009,-0.019692,HELLO
0.724382,0.51266,0.0,0.612181,0.258754,-0.034753,0.626617,0.22967,-0.026811,HELLO
0.719402,0.512054,0.0,0.612091,0.259708,-0.035582,0.627459,0.231873,-0.029272,HELLO
0.718734,0.5098,0.0,0.61312,0.26275,-0.032892,0.628831,0.236186,-0.026907,HELLO
0.686863,0.481898,0.0,0.512044,0.285918,0.008279,0.533092,0.263726,0.013114,HELLO
0.638048,0.468062,0.0,0.48006,0.32081,-0.003827,0.485043,0.287113,-0.002785,HELLO
0.62575,0.461606,0.0,0.480716,0.320206,-0.013875,0.485508,0.286526,-0.010974,HELLO
0.612436,0.447085,0.0,0.461187,0.329667,-0.018357,0.464145,0.297736,-0.013593,HELLO
0.610996,0.449902,0.0,0.45886,0.329747,-0.024461,0.464724,0.299313,-0.019773,HELLO
0.621271,0.457189,0.0,0.480675,0.323496,-0.029534,0.484515,0.288862,-0.024257,HELLO
0.624205,0.459864,0.0,0.489503,0.315999,-0.025125,0.494129,0.283195,-0.019867,HELLO
0.62407,0.461641,0.0,0.488984,0.318564,-0.022401,0.494746,0.285451,-0.017511,HELLO
0.707383,0.52484,-0.0,0.579727,0.274423,-0.000659,0.588838,0.239982,-0.001036,HELLO
0.746603,0.543883,0.0,0.661298,0.255127,-0.036301,0.676784,0.230926,-0.031052,HELLO
0.769476,0.603781,0.0,0.735467,0.319224,-0.049379,0.750853,0.298143,-0.042949,HELLO
0.787652,0.634861,0.0,0.735008,0.328876,-0.042299,0.753579,0.309926,-0.039456,HELLO
0.791582,0.635922,0.0,0.733717,0.327179,-0.043523,0.752489,0.310089,-0.038285,HELLO
0.785349,0.659767,0.0,0.738821,0.344657,-0.04213,0.75803,0.325789,-0.03903,HELLO
0.786076,0.663123,0.0,0.738616,0.346822,-0.040442,0.75794,0.32619,-0.037238,HELLO
0.781759,0.714821,0.0,0.755205,0.391185,-0.041989,0.775777,0.373155,-0.037633,HELLO
0.783493,0.729055,0.0,0.756819,0.396562,-0.04158,0.779599,0.377501,-0.038235,HELLO
0.783442,0.730204,0.0,0.757844,0.397109,-0.044755,0.778047,0.375646,-0.040083,HELLO
0.786423,0.729516,0.0,0.758053,0.397229,-0.044226,0.778413,0.376005,-0.03986,HELLO
0.78422,0.728518,0.0,0.758021,0.395736,-0.048466,0.778186,0.376126,-0.043791,HELLO
0.781244,0.712363,0.0,0.74783,0.381044,-0.04427,0.7686,0.362278,-0.038705,HELLO
0.773299,0.709311,0.0,0.746027,0.378895,-0.045505,0.766657,0.355762,-0.040714,HELLO
0.698489,0.527827,0.0,0.565718,0.277122,-0.005331,0.575767,0.242129,-0.005516,HELLO
0.690693,0.517858,0.0,0.568626,0.277545,-0.002289,0.578319,0.246424,-0.002912,HELLO
0.661121,0.483389,0.0,0.506837,0.295837,-0.001609,0.510755,0.260879,-0.00232,HELLO
0.639,0.464499,0.0,0.492527,0.307044,-0.01702,0.498543,0.271898,-0.011849,HELLO
0.617227,0.456769,0.0,0.470449,0.32625,-0.015935,0.470418,0.294484,-0.010757,HELLO
0.61576,0.456199,0.0,0.464753,0.33115,-0.01617,0.469302,0.297867,-0.013258,HELLO
0.615436,0.456005,0.0,0.46443,0.33048,-0.018607,0.469265,0.297284,-0.015468,HELLO
0.614088,0.456057,0.0,0.463929,0.335553,-0.017227,0.467623,0.3014,-0.014266,HELLO
0.61415,0.45806,0.0,0.462408,0.336639,-0.021352,0.46654,0.304051,-0.016778,HELLO
0.617313,0.481674,0.0,0.45001,0.332423,-0.018899,0.452985,0.287444,-0.014728,HELLO
0.609505,0.477061,0.0,0.443226,0.329129,-0.026362,0.447646,0.29072,-0.018647,HELLO
0.604304,0.477885,0.0,0.439524,0.330587,-0.025578,0.444042,0.293456,-0.016602,HELLO
0.604027,0.477709,0.0,0.437961,0.330198,-0.031481,0.44269,0.294315,-0.022019,HELLO
0.603587,0.476843,0.0,0.438401,0.330934,-0.031762,0.443068,0.294958,-0.022524,HELLO
0.623989,0.487187,0.0,0.473607,0.302894,-0.034265,0.4815,0.267348,-0.029649,HELLO
0.647014,0.496802,0.0,0.512679,0.280663,-0.036927,0.52436,0.249135,-0.030821,HELLO
0.670406,0.531783,0.0,0.584197,0.247321,-0.049197,0.594373,0.221554,-0.0443,HELLO
0.690089,0.538038,0.0,0.604943,0.258692,-0.028184,0.619479,0.23391,-0.027366,HELLO
0.728191,0.584235,0.0,0.691676,0.286724,-0.049052,0.712007,0.267351,-0.039786,HELLO
0.730458,0.59631,0.0,0.691908,0.287374,-0.043658,0.713188,0.271911,-0.035489,HELLO
0.729766,0.596766,0.0,0.692568,0.288998,-0.038839,0.712655,0.271513,-0.031586,HELLO
0.729913,0.597585,0.0,0.69277,0.289431,-0.036542,0.712909,0.272296,-0.030082,HELLO
0.735049,0.630562,0.0,0.722956,0.312873,-0.040896,0.74313,0.2963,-0.03724,HELLO
